場所名稱,場所區域,場所地址,地點描述,LAT,LNG,緊急連絡電話,分機
高雄市博愛國小,64000050,十全一路202號,大門口進入後左方一樓靠牆處,22.64539,120.306948,(07)3110708,
高雄醫學大學,64000050,十全一路100號,濟世大樓一樓電梯口旁,22.646949,120.311004,(07)3121101,2117
健身工廠同盟廠,64000050,同盟三路642號,教練部旁，有氧教室外,22.649691,120.287134,(07)3133888,
高雄市三民區愛國國小,64000050,十全一路一號,"進校門直走迎賓大道至崇愛樓一樓穿堂,AED放置於左側公共電話旁",22.644576,120.313442,(07)3161191,
美奇萊育樂股份有限公司,64000050,十全一路161號,1樓售票櫃檯內側,22.644834,120.309411,(07)3210663,
高雄市政府勞工局博愛職業技能訓練中心,64000050,十全三路101號,2樓電梯與飲水機的牆壁上,22.646185,120.289602,(07)3214033,
高雄市政府水利局水情中心,64000050,同盟三路430號,一樓服務台旁,22.644521,120.282858,(07)3215929,232
高雄醫學大學,64000050,十全一路100號,第一教學大樓B1電梯出口處,22.647888,120.310544,(07)3220809,
高雄醫學大學,64000050,十全一路100號,國研大樓地下2F大講堂,22.646655,120.310507,(07)3220809,
高雄醫學大學,64000050,十全一路100號,新館宿舍一樓大廳,22.647997,120.309498,(07)3220809,
高雄市輪船(股)公司  新光碼頭站,64000070,中正四路211號5樓之3,大門進入後，左側靠牆處，(因本站體內為開放空間，無任何遮蔽物，進入後，即可清楚看見AED擺放位置)。,22.609326,120.297198,(07)3220998,
野村證券投資信託股份有限公司高雄分公司,64000050,博愛路一段366號21樓之2,野村投信辦公室 櫃台旁  (王象大樓),22.648344,120.326254,(07)3225525,
高雄市立三民國民中學,64000050,十全一路200號,善樓1樓保健室室外,22.64653,120.306679,(07)3227751,
德立莊博愛館,64000050,博愛一路338號,電梯正前方,22.650362,120.303771,(07)3238777,
台灣高速鐵路(股)公司,64000030,高鐵路105號,北上(2)月台站務室前方,22.686927,120.307827,(07)32623000,
台灣高速鐵路(股)公司,64000030,高鐵路105號,北上(3)月台站務室座位前方,22.686927,120.307827,(07)32623000,
台灣高速鐵路(股)公司,64000030,高鐵路105號,北上(1)月台站務室座位前方,22.686927,120.307827,(07)32623000,
台灣高速鐵路(股)公司,64000030,高鐵路105號,2F大廳南付費區,22.686927,120.307827,(07)32623000,
高雄市立成功特殊教育學校,64000090,復興三路3號,進校門口前棟(行政大樓)1樓中庭，右前方明顯位置,22.606127,120.302074,(07)3304624,
家福股份有限公司光華分公司,64000090,光華二路157號,一樓結帳收銀線牆壁,22.61123,120.317327,(07)3306189,
寒軒國際大飯店股份有限公司,64000080,四維三路33號,進門左側服務中心櫃檯旁即可看見落地式AED裝備與明顯標示,22.619176,120.310845,(07)3308800,6115
高雄市前鎮區獅甲國民小學,64000090,中山三路45號,獅甲國小警衛室內,22.60646,120.307323,(07)3311465,
高雄市前鎮區愛群國民小學,64000090,二聖二路194號,學校大門口進入後第一棟二聖樓玄關處,22.613781,120.312487,(07)3320323,
高雄市政府勞工局勞工教育生活中心獅甲會館,64000090,中山三路132號,住宿部櫃檯,22.607712,120.309556,(07)3328110,9
祥全診所,64000090,復興三路393號2樓,二樓櫃台旁,22.613569,120.311235,(07)3340393,
高雄市苓雅區成功國民小學,64000080,華新街59號,放置於警衛室門口之牆邊,22.626881,120.326254,(07)3341882,
高雄市前鎮區復興國民小學,64000090,民權二路331號,大門進入後在穿堂玄關,22.608282,120.311687,(07)3351784,2
高雄市苓雅區苓洲國民小學,64000080,四維四路61號,百苓大樓玄關 靠東側牆面,22.615658,120.300076,(07)3351804,7
高雄市立苓雅國民中學,64000080,四維三路176號,操場旁的中央川堂,22.61832,120.306327,(07)3353307,
新光三越百貨(股)公司 高雄三多分公司,64000090,三多三路213號,8F育嬰室,22.614348,120.306859,(07)3366100,7119
好市多股份有限公司,64000090,中華五路656號,1F收銀區旁,22.603696,120.306336,(07)3380006,
好市多股份有限公司,64000090,中華五路656號,B1眼鏡部旁,22.603437,120.30634,(07)3380006,
太平洋崇光百貨股份有限公司高雄店,64000090,三多三路217號,SOGO高雄店1樓東側二部電梯旁,22.614252,120.306006,(07)3381000,
香港商世界健身事業有限公司小港分公司,64000090,民權二路8號1樓,1樓大門入口正面對,22.605179,120.309573,(07)3382266,
健身工廠三多廠,64000090,文橫三路59號,2樓影印機旁,22.613622,120.306946,(07)3388800,
Curves女性專用30分鐘健身中心-左營高鐵店,64000030,華夏路1138號2樓,在展示櫃右方，在運動的右後方,22.683561,120.308454,(07)3411052,
高雄市立新莊高級中學,64000030,文慈路99號,新莊高級中學警衛室,22.681408,120.317664,(07)3420103,889
高雄市獅湖國小,64000050,鼎金後路495號,獅湖國小忠孝玄關西側(近家長會辦公室),22.672367,120.32233,(07)3424782,
文藻外語大學千禧樓宿舍,64000050,民族一路900號,千禧樓宿舍一樓,22.670349,120.31914,(07)3429958,
文藻外語大學,64000050,民族一路900號,求真樓1樓穿堂,22.670349,120.31914,(07)3429958,
文藻外語大學,64000050,民族一路900號,正氣樓穿堂靠近樓梯處,22.670349,120.31914,(07)3429958,
高雄市立左營國中,64000030,曾子路281號,輔導室外牆,22.679516,120.30688,(07)3433080,
高雄市三民區河堤國小,64000050,裕誠路3號,大門進入後前庭玄關健康中心門口旁,22.663274,120.314981,(07)3436556,831
高雄市左營區新光國小,64000030,華夏路800號,健康中心外走廊(面對華夏路校門口),22.680017,120.304569,(07)3438577,210
九和汽車股份有限公司高雄分公司,64000030,民族一路747號,會客室,22.674369,120.317941,(07)3438800,
Curves可爾姿高雄河堤店(右騰實業有限公司),64000050,裕誠路72號2樓,2樓門口一進入即會看到在左前方,22.663965,120.31392,(07)3454993,
裕昌汽車股份有限公司大中分公司,64000030,大中一路399號,客休休息區,22.677565,120.321127,(07)3462555,
新光三越高雄左營店 彩虹市集,64000030,高鐵路115號3樓,"位於新光三越高雄左營店彩虹市集3F服務台,另外於本館3F空橋也有設置另一組AED",22.688198,120.309767,(07)3469999,5119
新光三越百貨股份有限公司高雄左營分公司,64000030,高鐵路123號,AED放置於本館3樓空橋出入口 春水堂對面,25.041583,121.536856,(07)3469999,5119
高雄市左營區福山國民小學,64000030,重愛路99號,福山國小自在樓1樓川堂,22.683745,120.317362,(07)3487633,
高都汽車LEXUS民族廠,64000030,民族一路879號,民族所展示間南邊大門入口右側,22.678475,120.318779,(07)3501558,
高雄市立福山國民中學,64000030,重信路215號,一樓學務處旁近員生社門口,22.680614,120.315075,(07)3501581,
高雄市政府環境保護局中區資源回收廠回饋設施,64000050,鼎金一巷22號,回饋設施B棟1樓管理室,22.664663,120.32912,(07)3509143,
交通部臺灣鐵路管理局高雄運務段楠梓站,64000040,建楠路229號,位於車站大廳內售票窗口與自動售票機之間。,22.727035,120.324371,(07)3510175,
萬美崙仁大股份有限公司,64000160,經建路3號,辦公大樓1樓,22.723998,120.335484,(07)3510436,
高雄市大社區衛生所,64000160,自強街7號,衛生所一樓大廳右側,22.731176,120.347098,(07)3511774,
高雄市楠梓區衛生所,64000040,楠梓路202號,大門入口左側,22.732236,120.328359,(07)3512110,
高雄市殯葬管理處第二殯儀館大社分館,64000160,和平路二段291號,行政中心裡面,22.71576,120.361791,(07)3512921,
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,辦公大樓1樓,22.725664,120.340282,(07)3513521,238
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,品管課,22.725664,120.340282,(07)3513521,238
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,地磅站,22.725664,120.340282,(07)3513521,238
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,公用一場辦公室,22.725664,120.340282,(07)3513521,238
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,醫務室,22.725664,120.340282,(07)3513521,238
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,公用二場辦公室,22.725664,120.340282,(07)3513521,238
中國石油化學工業開發股份有限公司大社廠,64000160,興建路1號,AN控制室,22.725664,120.340282,(07)3513521,238
大連化學工業股份有限公司高雄廠,64000160,三奶里興工路1-3號,大門口警衛室,22.720297,120.34248,(07)3514151,
高雄市立楠梓國民中學,64000040,楠梓路336號,宗合大樓一樓玄關右邊，健康中心外側,22.734499,120.327394,(07)3517191,22
統一速達股份有限公司高雄轉運中心,64000040,高楠公路939號,轉運中心旁的樓梯(文德，B17),22.711714,120.324741,(07)3519939,
高都汽車楠梓廠,64000040,楠陽路139號,精品櫃旁,22.723211,120.329121,(07)3520501,
台灣糖業股份有限公司高雄區處楠梓學苑,64000040,卓越路51巷6號,位於大門出入口前方的閱覽室內,22.751231,120.332758,(07)3544962,
嘉誠國民小學,64000160,嘉誠里嘉誠路22號,嘉誠國小健康中心前走廊.公共空間,22.748265,120.380119,(07)3560418,
台灣高雄少年及家事法院,64000040,常順街89號,家事法庭大樓法警室旁,22.732238,120.335033,(07)3573511,
台灣高雄少年及家事法院,64000040,興楠路182號,少年法庭大樓法警室旁,22.73154,120.335024,(07)3573511,
高雄高等行政法院,64000040,興楠路180號,本院大廳一樓出入口法警執勤台左後方,22.731406,120.335807,(07)3573793,
海洋國家公園管理處(解說服務中心),64000040,德民路24號,解說導覽大廳蘭嶼展區右側,22.732475,120.316855,(07)3601898,
海洋國家公園管理處(東沙管理站),64000100,東沙52號,東沙管理站1樓大廳,20.698717,116.732183,(07)3601898,
國立中山大學附屬國光高級中學,64000040,後昌路512號,忠孝館1F健康中心前門進入後左邊窗戶柱子上設有一木箱上有AED標示AED就放置在箱子內，箱子門打開會發生警報鈴聲及閃光,22.708348,120.30526,(07)3603600,
國立高雄科技大學(楠梓校區),64000040,高雄市楠梓區海專路142號,國立高雄科技大學(楠梓校區)宿舍服務中心,22.717537,120.303187,(07)3610247,23853
健身工廠楠梓廠,64000040,藍田里大學東路290號,教練部櫃檯正前方柱子,22.729311,120.290333,(07)3611333,
高雄市楠梓區莒光國民小學,64000040,後昌路842號,門口,22.711558,120.295275,(07)3612078,
高雄市援中國民小學,64000040,中和里大學26街1150號,新大門玄關左側,22.728473,120.278304,(07)3612193,0
高雄市立右昌國小,64000040,加昌路910號,由正門進入至玄關左側,22.713674,120.292153,(07)3612368,722
日月暘電子股份有限公司一廠,64000040,新經一路10號,1F(西側)警衛室,22.724412,120.309155,(07)3612989,84595
日月光半導體製造股份有限公司附設員工醫務室,64000040,經五路123號,員工醫務室大廳,22.721849,120.301623,(07)3617131,
日月光電子股份有限公司,64000040,開發路73號,一樓大門警衛室,22.719952,120.300497,(07)3617131,
日月光半導體製造股份有限公司K23廠區,64000040,研發路66號,1F(西側)警衛室,22.713791,120.300275,(07)3617131,10122
日月光半導體製造股份有限公司包裝材料廠,64000040,西八街21號,1F(北側)警衛室,22.722416,120.298952,(07)3617131,10131
日月光半導體製造股份有限公司K8廠區,64000040,西五街10號,1F(東北側)警衛室,22.721791,120.301375,(07)3617131,10180
日月光半導體製造股份有限公司K12廠區,64000040,內環北路115號,1F(東側)警衛室,22.723448,120.299495,(07)3617131,82807
日月光半導體製造股份有限公司K1廠區,64000040,經三路26號,1F(西側)警衛室,22.721133,120.306328,(07)3617131,83062
日月光半導體製造股份有限公司K3廠區,64000040,開發路47號,BF(東側)警衛室,22.721012,120.305406,(07)3617131,83067
日月光半導體製造股份有限公司K4廠區,64000040,開發路31號,1F(西側)警衛室,22.721565,120.30529,(07)3617131,83072
日月光半導體製造股份有限公司K5廠區,64000040,經六路66號,1F(北側)警衛室,22.722371,120.300752,(07)3617131,83075
日月光半導體製造股份有限公司K6廠區,64000040,開發路21號,1F(北側)警衛室,22.722249,120.306755,(07)3617131,83082
日月光半導體製造股份有限公司K10廠區,64000040,中一街5號,1F(北側)警衛室,22.720084,120.305731,(07)3617131,83083
日月光半導體製造股份有限公司K7廠區,64000040,內環北路109號,1F(南側)警衛室,22.723286,120.300434,(07)3617131,83085
日月光半導體製造股份有限公司K14C廠區,64000040,經六路55號,1F(南側)警衛室,22.721464,120.300038,(07)3617131,84911
日月光半導體製造股份有限公司K6A廠區,64000040,開發路15-3號,3F(北側)警衛室,22.722338,120.307342,(07)3617131,86088
日月光半導體製造股份有限公司K11廠區,64000040,中央路30號,1F(西南側)警衛室,22.722334,120.305001,(07)3617131,88000
日月光半導體製造股份有限公司K15廠區,64000040,新經一路11號,1F(東側)警衛室,22.724828,120.308286,(07)3617131,88024
日月光半導體製造股份有限公司K21廠區,64000040,創意南路2號,1F(西南側)警衛室,22.713214,120.301512,(07)3617131,88653
日月光半導體製造股份有限公司K14B廠區,64000040,西六街52號,1F(南側)警衛室,22.721328,120.299542,(07)3617131,89192
日月光半導體製造股份有限公司K6B廠區,64000040,開發路16號,1F(南側)警衛室,22.722938,120.307389,(07)3617131,89946
日月光半導體製造股份有限公司K22廠區,64000040,創意北路1號,1F(西北側)警衛室,22.714693,120.300595,(07)3617131,87093
日月光半導體製造股份有限公司K10A廠區,64000040,內環南路2號,2F(南側)警衛室,22.720325,120.310198,(07)3617131,88025
國立高雄科技大學(楠梓校區),64000040,高雄市楠梓區海專路142號,國立高雄科技大學(楠梓校區)行政大樓1樓校安中心外牆,22.724741,120.314634,(07)3617141,22087;(07)3630062
國立高雄科技大學(楠梓校區),64000040,高雄市楠梓區海專路142號,國立高雄科技大學(楠梓校區)體育室辦公室內鄰近游泳池,22.724741,120.314634,(07)3617141,22922
國立高雄科技大學(旗津校區),64000100,中洲三路482號,旗津校區宿舍服務中心入口處,22.608746,120.272169,(07)3617141,26101
經濟部加工出口區管理處從業員工服務中心,64000040,加工出口區經二路15號,大門入口左側,22.72368,120.306699,(07)3617171,
高雄市加昌國小,64000040,樂群路220號,AED放置於本校最靠近大門之一樓大玄關處,22.720685,120.296825,(07)3627169,5031
高雄市立油廠國小,64000040,左楠路4號,舊大門新南樓穿堂,22.708962,120.302816,(07)3632300,
日月光女子宿舍,64000040,德賢路88號,員工宿舍迴廊,22.728326,120.309562,(07)3633835,
高雄市右昌國中,64000040,盛昌街161號,學務處玄關旁(保健中心前),22.713562,120.286841,(07)3640451,0391
高雄市立中山高級中學,64000040,藍昌路416號,"1.科技大樓為行政教學大樓之中樞
2.前方為體育組
3.右側為健康中心
4.腹地寬闊可作車輛和人潮之轉圜處",22.729032,120.293341,(07)3641116,
高雄市立楠梓特殊學校,64000040,德民路211號,校門口一進去的左側穿堂，靠近穿堂佈告欄處。,22.728072,120.313548,(07)3642007,
香港商世界健身事業有限公司楠梓分公司,64000040,德民路951號,2樓教練櫃台,22.720419,120.28898,(07)3643333,
高雄市國昌國民中學,64000040,德民路1010號,位在一樓玄關、樓梯旁,22.719329,120.285525,(07)3644300,
鎵興國際股份有限公司高雄分公司,64000040,大學七街336、338號,設置於大廳右邊電梯對面牆,22.72973,120.289256,(07)3646162,103
李長榮化學工業股份有限公司 楠梓廠,64000040,研發路66-9號,李長榮化學工業股份有限公司 楠梓廠,22.712816,120.299626,(07)3648814,
致茂電子股份有限公司高雄分公司,64000040,北內環東路1號,警衛室旁,22.724179,120.310826,(07)3656188,8062
裕昌汽車股份有限公司右昌分公司,64000040,德民路938號,休息區,22.721099,120.289221,(07)3662555,
高雄市翠屏國民中小學,64000040,翠屏路135號,行政大樓玄關處正對校門(學校中心 ),22.728681,120.29951,(07)3683018,
高雄市翠屏國民中小學,64000040,翠屏路135號,學務處旁樓梯處(近國中部教學大樓),22.728507,120.299038,(07)3683018,
澄清湖風景區,64000180,大埤路32號,澄清湖風景區遊客中心文史館(原淡水館),22.658941,120.360419,(07)3700821,
澄清湖風景區服務台,64000180,大埤路32號,進觀光大門服務台內右側,22.651962,120.34957,(07)3700821,
高雄市鳥松區大華國民小學,64000180,大華路200號,校門口進來的一樓穿堂,22.653388,120.340309,(07)3701359,
高雄市仁武區仁武國民小學,64000170,中正路94號,辦公室走廊靠近穿堂,22.701564,120.348905,(07)3711126,
高雄市仁武區衛生所,64000170,地政街23號,1樓大門入口右邊服務台後方,22.700835,120.351664,(07)3711434,
高雄市立大灣國民中學,64000170,仁雄路99號,學務處門口,22.676877,120.343802,(07)3711715,
中國青年救國團澄清湖青年活動中心,64000180,文前路140號,服務處內，AED裝置放置電視機與書櫃旁。,22.668828,120.350246,(07)3717181,
高雄市仁武區灣內國民小學,64000170,仁心路31號,健康中心外面走廊，鄰近教室、辦公室及操場,22.690484,120.368653,(07)3718228,
高雄市市立仁武高中,64000170,仁林路20號,仁武高中健康中心,22.702059,120.355981,(07)3721640,
高雄市明山慈安居老人養護中心,64000170,考潭里成功路5號,一樓大廳進門右前方明顯處,22.684814,120.364247,(07)3722268,
高雄市仁武區竹後國民小學,64000170,竹後里竹楠路250號,學校穿堂,22.706214,120.333143,(07)3724460,
7-11 京富門市,64000170,八德南路382號,"門市出入口, 收銀櫃檯旁",22.681284,120.340024,(07)3732953,
國1北上往國10西向匝道改善紀國10主線配合改善工程,64000170,八德西路與大中一路路口,營建土木工地員工休息區,22.676241,120.331197,(07)3743031,
高雄市仁武資源回收(焚化)廠,64000170,烏林里仁安二巷100號,行政大樓大廳左手邊,22.700277,120.36866,(07)3743855,
澄合牙醫診所,64000170,澄德路21號1樓,冰箱上面,22.683277,120.345295,(07)3746920,
高雄市立仁武特殊教育學校,64000170,澄觀路1389號,本校穿堂,22.683643,120.346132,(07)3749788,
國立科學工藝博物館,64000050,九如一路720號,北館一樓三角大廳入口處旁,22.641431,120.322551,(07)3800089,
高雄市立正興國民中學,64000050,覺民路850號,高雄市三民區覺民路850號,22.644125,120.31976,(07)3809591,
育英醫護管理專科學校,64000050,大昌二路420巷15號,大門警衛室旁,22.649699,120.332444,(07)3811765,
育英醫護管理專科學校,64000050,大昌二路420巷15號,靜思樓一樓衛生保健組旁,22.650364,120.333014,(07)3811765,
裕昌汽車股份有限公司陽明分公司,64000050,陽明路259號,休息區,22.642795,120.341709,(07)3812789,
高雄市三民區莊敬國小,64000050,大昌一路200號,大門玄關,22.656037,120.324326,(07)3813210,
Curves高雄大昌店(右騰實業有限公司淡水營業所),64000050,大昌一路12號3樓,店鋪門口一進去，右轉，直走到底即可看見,22.652994,120.328179,(07)3814191,
國立高雄科技大學,64000050,建工路415號,警衛室西側外牆上,22.651767,120.328657,(07)3814526,2660
國立高雄科技大學燕巢校區,64000210,深中路58號,高科大燕巢校區商業智慧大樓1樓MA105教室旁,22.772696,120.402643,(07)3814526,535
高雄市立高雄高級工業職業學校,64000050,建工路419號,一樓玄關,22.650666,120.326415,(07)3815366,
高雄市殯葬管理處第一殯儀館,64000050,本館路600巷20號,第一殯儀館服務中心入口處右邊,22.660657,120.332337,(07)3816316,106
高雄市立民族國中,64000050,覺民路363號,"進學校正門,一樓川堂前段,值夜室旁",22.640511,120.33318,(07)3818718,
高雄市三民區衛生所,64000050,鼎山街660號,衛生所內一樓大門旁,22.649755,120.316316,(07)3820492,
高雄市政府警察局三民第二分局民族派出所,64000050,民族一路208號,一樓值班台窗旁,22.647834,120.315102,(07)3822653,
太子世界大樓管理委員會,64000050,和順街91號,一樓大門右前方,22.654528,120.316099,(07)3826980,
財政部高雄國稅局三民分局第一辦公室,64000050,哈爾濱街215號7樓,放置於逃生門口左邊,22.64767,120.299817,(07)3829211,6742
財政部高雄國稅局三民分局第二辦公室,64000050,大順二路468號6樓,放置於綜所稅6號櫃檯前血壓機旁,22.649455,120.325065,(07)3829211,6827
高雄市立鼎金國中,64000050,鼎山街445號,忠孝樓一樓玄關,22.655599,120.320765,(07)3831029,
高雄市三民區鼎金國民小學,64000050,鼎山街375號,高雄市三民區鼎金國民小學穿堂,22.656116,120.321321,(07)3836330,0
高雄市三民區東光國小,64000050,黃興路206號,從黃興路大門進入校園後，右方即是警衛室，AED在警衛室外,22.648284,120.338973,(07)3839350,18
